year,geography,metric,unit,vector,value,decimals
1998,"Québec, Quebec",Weighted clearance rate,Number,v53079468,31.92,2
1998,"Québec, Quebec",Violent weighted clearance rate,Number,v53079470,53.07,2
1998,"Québec, Quebec",Non-violent weighted clearance rate,Number,v53079472,26.7,2
1998,"Québec, Quebec",Percent change in non-violent weighted clearance rate,Percent,v53079473,,2
1998,"Sherbrooke, Quebec",Crime severity index,Index,v44312527,111.65,2
1998,"Sherbrooke, Quebec",Violent crime severity index,Index,v44312529,53.89,2
1998,"Sherbrooke, Quebec",Non-violent crime severity index,Index,v44312531,133.85,2
1998,"Sherbrooke, Quebec",Youth crime severity index,Index,v53079483,,2
1998,"Sherbrooke, Quebec",Youth violent crime severity index,Index,v53079484,,2
1998,"Sherbrooke, Quebec",Youth non-violent crime severity index,Index,v53079476,,2
1998,"Sherbrooke, Quebec",Weighted clearance rate,Number,v53079477,24.55,2
1998,"Sherbrooke, Quebec",Violent weighted clearance rate,Number,v53079479,59.17,2
1998,"Sherbrooke, Quebec",Non-violent weighted clearance rate,Number,v53079481,19.2,2
1998,"Sherbrooke, Quebec",Percent change in non-violent weighted clearance rate,Percent,v53079482,,2
1998,"Trois-Rivières, Quebec",Crime severity index,Index,v44312533,96.4,2
1998,"Trois-Rivières, Quebec",Violent crime severity index,Index,v44312535,49.13,2
1998,"Trois-Rivières, Quebec",Non-violent crime severity index,Index,v44312537,114.58,2
1998,"Trois-Rivières, Quebec",Youth crime severity index,Index,v53079492,,2
1998,"Trois-Rivières, Quebec",Youth violent crime severity index,Index,v53079493,,2
1998,"Trois-Rivières, Quebec",Youth non-violent crime severity index,Index,v53079485,,2
1998,"Trois-Rivières, Quebec",Weighted clearance rate,Number,v53079486,40.24,2
1998,"Trois-Rivières, Quebec",Violent weighted clearance rate,Number,v53079488,76.02,2
1998,"Trois-Rivières, Quebec",Non-violent weighted clearance rate,Number,v53079490,34.34,2
